1979 1204572  0.60
1979 1204472  0.70
1979 1204617  0.10
1979 120  52  0.10
1979 1204083  0.00
1979 1204004  0.00
1979 1204079  0.30
1979 1204954  0.00
1979 120 488  0.00
1979 120 483  0.00
1979 1214007  0.00
1979 1214572  0.00
1979 1214472  0.00
1979 1214617  0.00
1979 121  52  1.90
1979 1214083  0.10
1979 1214004  0.00
1979 1214079  0.20
1979 1214954  0.00
1979 121 488  0.00
1979 121 483  0.00
1979 1224007  1.40
1979 1224572  0.00
1979 1224472  1.80
1979 1224617  0.90
1979 122  52  0.00
1979 1224083  0.00
1979 1224004  0.00
1979 1224079  0.00
1979 1224954  0.00
1979 122 488  0.00
1979 122 483  0.00
1979 1234007  3.90
1979 1234572  4.40
1979 1234472  2.70
1979 1234617  2.70
1979 123  52  1.90
1979 1234083  8.50
1979 1234004  2.20
1979 1234079  0.20
1979 1234954  2.60
1979 123 488  3.10
1979 123 483  3.50
1979 1244007  1.10
1979 1244572  0.10
1979 1244472  0.10
1979 1244617  2.40
1979 124  52  7.30
1979 1244083  1.60
1979 1244004  0.50
1979 1244079  1.40
1979 1244954  0.10
1979 124 488  1.30
1979 124 483  0.30
1979 1254007  0.00
1979 1254572  0.00
1979 1254472  0.00
1979 1254617  0.00
1979 125  52  0.00
1979 1254083  0.00
1979 1254004  0.00
1979 1254079  0.00
1979 1254954  0.00
1979 125 488  0.00
1979 125 483  0.00
1979 1264007  0.10
1979 1264572  0.20
1979 1264472  1.10
1979 1264617  0.00
1979 126  52  7.20
1979 1264083  3.30
1979 1264004  6.30
1979 1264079  0.00
1979 1264954  0.00
1979 126 488  0.10
1979 126 483  0.00
1979 1274007  1.00
1979 1274572  9.50
1979 1274472 13.30
1979 1274617  5.10
1979 127  52  3.30
1979 1274083 11.30
1979 1274004  8.00
1979 1274079  0.30
1979 1274954  4.20
1979 127 488  6.10
1979 127 483  3.00
1979 1284007  0.10
1979 1284572  0.00
1979 1284472  2.70
1979 1284617  0.60
1979 128  52 22.40
1979 1284083  0.30
1979 1284004  5.80
1979 1284079 18.20
1979 1284954  0.20
1979 128 488  0.10
1979 128 483  0.50
1979 1294007  2.80
1979 1294572  1.40
1979 1294472  0.20
1979 1294617  0.00
1979 129  52  0.00
1979 1294083  0.00
1979 1294004  0.00
1979 1294079  0.40
1979 1294954  0.00
1979 129 488  0.40
1979 129 483  0.00
1979 1304007  7.70
1979 1304572  0.10
1979 1304472  0.70
1979 1304617  4.40
1979 130  52  3.00
1979 1304083  6.50
1979 1304004  0.90
1979 1304079  0.80
1979 1304954  0.90
1979 130 488  2.40
1979 130 483  0.80
1979 1314007  4.60
1979 1314572  1.40
1979 1314472  0.70
1979 1314617  4.20
1979 131  52  1.90
1979 1314083  7.80
1979 1314004  0.30
1979 1314079  0.80
1979 1314954  1.10
1979 131 488  4.80
1979 131 483  2.60
1979 2 14007  8.50
1979 2 14572  2.20
1979 2 14472  1.80
1979 2 14617  9.60
1979 2 1  52  0.10
1979 2 14083 11.50
1979 2 14004  1.90
1979 2 14079  0.00
1979 2 14954  2.10
1979 2 1 488  2.60
1979 2 1 483  6.00
1979 2 24007  8.20
1979 2 24572  8.70
1979 2 24472  7.20
1979 2 24617  9.60
1979 2 2  52 11.80
1979 2 24083 23.80
1979 2 24004  4.20
1979 2 24079  5.80
1979 2 24954  4.10
1979 2 2 488  7.80
1979 2 2 483  3.60
1979 2 34007  0.00
1979 2 34572  0.00
1979 2 34472  0.00
1979 2 34617  0.10
1979 2 3  52  0.50
1979 2 34083  0.00
1979 2 34004  0.00
1979 2 34079  0.00
1979 2 34954  0.00
1979 2 3 488  0.00
1979 2 3 483  0.00
1979 2 44007  1.60
1979 2 44572  0.80
1979 2 44472  0.90
1979 2 44617  1.80
1979 2 4  52  4.60
1979 2 44083  4.60
1979 2 44004  0.60
1979 2 44079  2.30
1979 2 44954  0.50
1979 2 4 488  1.20
1979 2 4 483  0.00
1979 2 54007  0.10
1979 2 54572  3.00
1979 2 54472  2.60
1979 2 54617  0.10
1979 2 5  52  1.20
1979 2 54083  1.90
1979 2 54004  2.00
1979 2 54079  4.20
1979 2 54954  1.80
1979 2 5 488  1.10
1979 2 5 483  0.00
1979 2 64007  0.00
1979 2 64572  0.00
1979 2 64472  0.00
1979 2 64617  0.00
1979 2 6  52  3.00
